 ,Label,Mean,X,Y,Position
1,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0001-0114,0,475.500,114.500,Dorsal
2,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0002-0116,0,404.500,116.500,Dorsal
3,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0003-0117,0,422.500,117.500,Dorsal
4,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0004-0121,0,501.500,121.500,Dorsal
5,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0005-0124,0,442.500,124.500,Dorsal
6,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0006-0128,0,469.500,128.500,Dorsal
7,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0007-0129,0,483.500,129.500,Dorsal
8,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0008-0129,0,492.500,129.500,Dorsal
9,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0009-0132,0,410.500,132.500,Dorsal
10,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0010-0133,0,525.500,133.500,Dorsal
11,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0011-0134,0,397.500,134.500,Dorsal
12,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0012-0136,0,456.500,136.500,Dorsal
13,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0013-0136,0,507.500,136.500,Dorsal
14,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0014-0138,0,479.500,138.500,Dorsal
15,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0015-0138,0,533.500,138.500,Dorsal
16,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0016-0140,0,439.500,140.500,Dorsal
17,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0017-0142,0,401.500,142.500,Dorsal
18,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0018-0143,0,518.500,143.500,Dorsal
19,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0019-0145,0,467.500,145.500,Dorsal
20,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0020-0145,0,499.500,145.500,Dorsal
21,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0021-0149,0,548.500,149.500,Dorsal
22,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0022-0150,0,583.500,150.500,Dorsal
23,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0023-0153,0,401.500,153.500,Dorsal
24,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0024-0155,0,485.500,155.500,Dorsal
25,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0025-0156,0,532.500,156.500,Dorsal
26,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0026-0162,0,505.500,162.500,Dorsal
27,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0027-0163,0,392.500,163.500,Dorsal
28,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0028-0164,0,430.500,164.500,Dorsal
29,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0029-0164,0,473.500,164.500,Dorsal
30,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0030-0166,0,444.500,166.500,Dorsal
31,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0031-0166,0,551.500,166.500,Dorsal
32,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0032-0166,0,568.500,166.500,Dorsal
33,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0033-0167,0,534.500,167.500,Dorsal
34,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0034-0169,0,410.500,169.500,Dorsal
35,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0035-0171,0,603.500,171.500,Dorsal
36,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0036-0174,0,582.500,174.500,Dorsal
37,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0037-0175,0,453.500,175.500,Dorsal
38,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0038-0180,0,429.500,180.500,Dorsal
39,C1-vms40_6a_F1_Lm1_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0039-0180,0,545.500,180.500,Dorsal
