 ,Label,Mean,X,Y,Position
1,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0001-0011,0,557.500,11.500,Dorsal
2,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0002-0014,0,541.500,14.500,Dorsal
3,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0003-0022,255,400.500,22.500,Dorsal
4,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0004-0026,0,530.500,26.500,Dorsal
5,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0005-0026,0,551.500,26.500,Dorsal
6,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0006-0027,0,383.500,27.500,Dorsal
7,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0007-0030,0,488.500,30.500,Dorsal
8,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0008-0031,0,363.500,31.500,Dorsal
9,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0009-0032,0,612.500,32.500,Dorsal
10,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0010-0032,0,679.500,32.500,Dorsal
11,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0011-0033,0,399.500,33.500,Dorsal
12,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0012-0034,0,597.500,34.500,Dorsal
13,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0013-0035,0,562.500,35.500,Dorsal
14,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0014-0038,255,716.500,38.500,Dorsal
15,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0015-0039,255,348.500,39.500,Dorsal
16,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0016-0039,255,371.500,39.500,Dorsal
17,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0017-0039,0,382.500,39.500,Dorsal
18,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0018-0039,0,536.500,39.500,Dorsal
19,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0019-0045,255,728.500,45.500,Dorsal
20,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0020-0045,0,750.500,45.500,Dorsal
21,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0021-0046,0,649.500,46.500,Dorsal
22,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0022-0047,0,702.500,47.500,Dorsal
23,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0023-0049,0,542.500,49.500,Dorsal
24,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0024-0050,0,325.500,50.500,Dorsal
25,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0025-0051,255,357.500,51.500,Dorsal
26,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0026-0053,0,529.500,53.500,Dorsal
27,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0027-0058,0,477.500,58.500,Dorsal
28,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0028-0061,0,650.500,61.500,Dorsal
29,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0029-0062,0,540.500,62.500,Dorsal
30,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0030-0065,0,603.500,65.500,Dorsal
31,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0031-0073,255,303.500,73.500,Dorsal
32,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0032-0074,0,647.500,74.500,Dorsal
33,C3-vms40_6a_F1_Lm5_Biocytin488-HuCD-594-syt11bHCR647_1wpi_3D.czi:0033-0075,255,322.500,75.500,Dorsal
