 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen
1,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,43.000,40,46,254.640,42.700,13.077,86
2,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,45.000,45,45,255.225,45.040,6.843,45
3,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,46.000,46,46,249.765,57.128,6.995,46
4,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,48.000,48,48,218.179,67.267,7.299,48
5,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,42.000,42,42,211.550,72.336,6.387,42
6,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,43.000,43,43,230.658,87.545,6.539,43
7,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.912,48.333,42,56,203.816,101.258,44.099,290
8,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,45.750,42,50,212.330,102.655,27.828,183
9,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,45.000,45,45,215.059,102.753,6.843,45
10,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,42.000,42,42,205.311,104.313,6.387,42
11,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,44.000,41,47,204.531,105.677,13.382,88
12,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,4.410,55.379,40,88,230.873,109.221,244.214,1606
13,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.760,51.200,43,60,227.694,108.914,38.928,256
14,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.912,48.333,41,56,204.531,109.577,44.099,290
15,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,41.667,40,45,196.082,110.812,19.008,125
16,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,2.129,52.500,41,66,205.478,111.917,111.767,735
17,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.369,50.444,40,62,212.850,112.502,69.037,454
18,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,46.000,46,46,229.878,112.502,6.995,46
19,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,43.500,43,44,209.405,113.087,13.230,87
20,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,49.000,47,51,200.826,113.282,14.902,98
21,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,43.500,42,45,213.890,113.866,13.230,87
22,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,42.000,42,42,201.411,114.061,6.387,42
23,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.912,46.500,40,56,209.925,117.181,42.426,279
24,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,43.000,43,43,222.469,118.351,6.539,43
25,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,52.750,45,57,225.296,118.643,32.085,211
26,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,40.000,40,40,221.689,121.081,6.083,40
27,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,45.667,40,56,223.378,122.510,20.833,137
28,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,46.000,45,47,208.625,126.150,13.990,92
29,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,52.500,43,62,199.656,128.880,15.967,105
30,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,44.000,40,47,206.090,131.024,26.763,176
31,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,45.000,45,45,209.210,132.389,6.843,45
32,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,48.500,45,52,212.915,142.138,14.750,97
33,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,44.667,42,47,200.891,142.918,20.377,134
34,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,53.500,40,70,197.512,148.085,32.542,214
35,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,41.000,41,41,200.631,148.377,6.235,41
36,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,50.000,40,58,194.489,149.547,30.413,200
37,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,41.500,41,42,194.587,150.912,12.621,83
38,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,49.000,40,57,199.071,155.267,22.353,147
39,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.912,50.333,41,61,194.197,185.813,45.923,302
40,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,42.000,40,44,187.958,186.008,12.773,84
41,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,50.000,50,50,186.203,186.983,7.603,50
42,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.825,50.583,43,76,187.763,188.153,92.303,607
43,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,44.750,41,51,190.492,188.835,27.219,179
44,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.912,56.167,40,87,194.197,188.738,51.246,337
45,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,47.000,47,47,194.977,189.712,14.294,94
46,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,55.000,55,55,190.102,190.492,8.364,55
47,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.760,51.600,41,67,152.355,218.335,39.232,258
48,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,1.977,54.231,40,94,154.917,219.229,107.205,705
49,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,54.250,47,67,150.912,219.154,32.998,217
50,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,56.000,40,69,152.017,221.819,25.547,168
51,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.304,43.500,41,46,213.305,224.808,13.230,87
52,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,47.000,47,47,204.531,237.287,7.147,47
53,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,41.333,40,43,206.610,237.417,18.856,124
54,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.608,56.250,40,84,205.506,239.042,34.214,225
55,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.152,47.000,47,47,204.141,240.406,7.147,47
56,Result of Result of C1-vms20_3a_F2_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D-1.czi_HCR inside celltype.tif,0.456,47.000,45,49,127.970,269.653,21.441,141
