 ,Label,Area,X,Y
1,1.0,4285,158.729,366.882
2,1.0,3947,368.817,934.818
3,1.0,4745,259.031,1327.506
4,1.0,4204,119.111,1806.645
5,1.0,3589,288.862,1867.333
6,2.0,4278,160.730,372.749
7,2.0,3901,364.456,920.909
8,2.0,4709,262.973,1319.461
9,2.0,4270,117.734,1803.001
10,2.0,3606,285.183,1871.641
11,3.0,4227,165.663,389.259
12,3.0,3880,351.759,884.840
13,3.0,4635,272.404,1275.843
14,3.0,4250,111.292,1785.642
15,3.0,3603,276.518,1881.222
16,4.0,4022,177.549,423.898
17,4.0,3929,336.665,845.029
18,4.0,4675,288.642,1202.792
19,4.0,4285,108.939,1766.561
20,4.0,3685,266.363,1888.471
21,5.0,4051,194.729,455.722
22,5.0,3881,325.178,818.828
23,5.0,4715,296.986,1148.472
24,5.0,4215,108.921,1752.342
25,5.0,3611,255.338,1893.309
26,6.0,4249,226.342,512.831
27,6.0,3825,311.297,785.210
28,6.0,4736,309.634,1088.810
29,6.0,4191,107.926,1739.645
30,6.0,3654,241.911,1880.839
31,7.0,4049,257.262,555.015
32,7.0,3863,302.742,762.953
33,7.0,4713,319.604,1052.480
34,7.0,4180,107.175,1731.379
35,7.0,3671,236.051,1870.586
36,8.0,7866,286.956,670.718
37,8.0,4698,329.571,1011.137
38,8.0,4223,106.779,1721.521
39,8.0,3506,230.592,1857.110
40,9.0,4180,298.286,640.457
41,9.0,3938,281.197,719.375
42,9.0,4671,335.572,983.843
43,9.0,4215,105.509,1714.109
44,9.0,3524,229.381,1848.826
45,10.0,4154,321.777,682.874
46,10.0,3836,268.646,694.491
47,10.0,4613,343.573,950.549
48,10.0,4330,104.430,1704.956
49,10.0,3496,224.276,1837.098
50,11.0,3912,255.960,668.461
51,11.0,4127,345.181,713.921
52,11.0,4605,348.054,925.276
53,11.0,4453,103.724,1700.142
54,11.0,3512,223.673,1832.158
55,12.0,3981,236.889,625.997
56,12.0,4196,370.230,749.816
57,12.0,4643,342.731,894.141
58,12.0,4565,102.620,1698.093
59,12.0,3580,225.421,1825.129
60,13.0,3793,215.751,586.511
61,13.0,4203,390.801,780.002
62,13.0,4586,316.277,873.966
63,13.0,4453,100.859,1694.642
64,13.0,3695,231.154,1813.933
65,14.0,3841,198.254,552.656
66,14.0,4203,409.394,804.677
67,14.0,4508,286.878,859.756
68,14.0,4242,102.441,1680.025
69,14.0,3822,236.428,1803.114
70,15.0,3736,187.495,532.477
71,15.0,4195,422.480,820.453
72,15.0,4455,268.383,850.454
73,15.0,4166,103.719,1669.313
74,15.0,3673,240.797,1794.184
75,16.0,3614,175.676,505.634
76,16.0,4198,438.844,838.821
77,16.0,4515,247.582,840.376
78,16.0,4274,107.457,1656.179
79,16.0,3522,246.684,1781.051
80,17.0,3498,167.018,491.474
81,17.0,4069,446.984,847.526
82,17.0,4497,233.248,833.836
83,17.0,4292,109.929,1647.757
84,17.0,3522,251.296,1775.356
85,18.0,3318,158.219,480.802
86,18.0,4551,216.124,825.498
87,18.0,3557,452.572,852.921
88,18.0,4244,112.654,1636.388
89,18.0,3536,256.939,1768.034
90,19.0,3447,147.030,474.882
91,19.0,4562,198.387,812.306
92,19.0,3206,457.196,858.369
93,19.0,4271,114.150,1629.036
94,19.0,3522,259.448,1763.055
95,20.0,3680,132.647,471.324
96,20.0,4560,185.219,787.151
97,20.0,3462,468.415,883.555
98,20.0,4164,118.311,1617.243
99,20.0,3631,260.010,1760.900
100,21.0,3872,124.865,468.167
101,21.0,4536,177.911,767.611
102,21.0,3583,473.846,901.487
103,21.0,4191,119.815,1609.980
104,21.0,3654,262.140,1758.078
105,22.0,3771,118.453,480.899
106,22.0,4522,170.643,744.042
107,22.0,3744,475.698,924.402
108,22.0,4386,119.720,1605.280
109,22.0,3687,265.687,1754.134
110,23.0,3789,114.347,498.261
111,23.0,4560,166.141,729.617
112,23.0,3188,471.540,950.771
113,23.0,4428,121.211,1599.308
114,23.0,3661,267.790,1751.071
115,24.0,3735,112.563,516.534
116,24.0,4530,161.227,708.566
117,24.0,3457,464.278,1001.544
118,24.0,4395,121.795,1591.960
119,24.0,3683,269.720,1747.408
120,25.0,3654,110.171,529.080
121,25.0,4614,163.173,687.575
122,25.0,4697,464.442,1019.187
123,25.0,4202,127.320,1577.331
124,25.0,3688,271.235,1744.410
125,26.0,3641,104.818,546.367
126,26.0,4620,174.181,656.162
127,26.0,4756,457.866,1053.984
128,26.0,4222,133.626,1560.914
129,26.0,3657,273.227,1741.166
130,27.0,3625,100.374,564.605
131,27.0,4570,183.999,633.389
132,27.0,4616,443.101,1094.609
133,27.0,4163,138.781,1547.241
134,27.0,3611,274.795,1738.318
135,28.0,3696,96.222,599.806
136,28.0,4632,195.318,605.721
137,28.0,4707,428.021,1147.156
138,28.0,4126,144.481,1533.259
139,28.0,3633,276.678,1735.679
140,29.0,4635,205.508,581.044
141,29.0,3814,92.274,625.225
142,29.0,4767,414.176,1187.227
143,29.0,4112,147.593,1524.078
144,29.0,3668,278.431,1733.623
145,30.0,4454,218.634,539.628
146,30.0,3877,88.863,652.426
147,30.0,4576,396.483,1241.045
148,30.0,4149,150.597,1514.752
149,30.0,3597,280.462,1730.854
150,31.0,4516,226.333,514.282
151,31.0,3884,84.502,676.831
152,31.0,4576,384.756,1283.832
153,31.0,4267,151.610,1509.832
154,31.0,3585,281.038,1728.979
155,32.0,4599,236.985,486.159
156,32.0,3853,84.508,708.676
157,32.0,4559,370.165,1345.565
158,32.0,4006,156.539,1494.858
159,32.0,3647,282.243,1727.817
160,33.0,4543,246.049,467.118
